,coins,market_cap_1jan
358,neumark,3770549.226785312
359,you-chain,3773421.6350765806
360,multiplier,3807611.188651369
361,stealthcoin,3857156.4304467686
362,cofix,3894454.4930438334
363,cardstack,3901399.085148143
364,honey,3912347.17774141
365,wepower,3931474.338747677
366,auctus,3959180.551266911
367,yield-app,3980984.3136547687
368,digix-gold,3981674.8944261167
369,data,3986487.953774262
370,blockport,3987570.0971122175
371,defidollar-dao,4015859.335119503
372,gamecredits,4017684.1389478017
373,decentr,4037530.7394911167
374,apy-finance,4076843.611059551
375,amon,4089150.065711317
376,spacechain-erc-20,4103312.96358804
377,bitmart-token,4127628.1701848814
378,rarible,4136615.4913171376
379,pillar,4157942.583887648
380,jarvis-reward-token,4168011.492942039
381,compound-wrapped-btc,4170377.550573496
382,databroker-dao,4173630.050452824
383,electronicgulden,4206578.743098101
384,lamden,4223906.303146146
385,alpha-quark-token,4227360.58342837
386,safe-deal,4228555.471977882
387,dodo,4279430.122913908
388,content-value-network,4293155.993611406
389,unitrade,4302823.411108568
390,bread,4306205.714220935
391,42-coin,4316210.8176289415
392,cryptoping,4327503.080124012
393,stakecube,4393345.95293768
394,spankchain,4404983.191852836
395,basis-dollar,4405640.902226972
396,blox,4405800.714557708
397,troy,4417264.134297194
398,digitalnote,4418895.016265949
399,hive_dollar,4431542.130563047
400,yearn-ecosystem-token-index,4436367.693657707
401,bitcoin-rhodium,4452703.369737663
402,blockv,4468327.431832202
403,dexe,4485248.337611935
404,linka,4504275.79390399
405,cnns,4508381.248976224
406,bonded-finance,4513769.67701014
407,n3rd-finance,4514517.453366895
408,zano,4539352.8431966
409,top-network,4539610.859325087
410,nsure-network,4575879.882008944
411,effect-network,4599438.539215488
412,compound-augur,4626504.04472566
413,veriblock,4644625.688922655
414,achain,4667734.902062831
415,oduwa-coin,4683551.157625314
416,tokenclub,4688004.6050782055
417,high-performance-blockchain,4738700.443081922
418,index-cooperative,4760266.692192526
419,apm-coin,4795110.924684982
420,ramp,4839576.296790806
421,poa-network,4843601.783925504
422,frontier-token,4848293.173517564
423,openanx,4863305.337040281
424,aspire,4869622.942169711
425,unit-protocol-duck,4878260.247612178
426,realio-network,4912179.172464823
427,renewableelectronicenergycoin,4922525.165313629
428,gulden,4929803.840433064
429,gridcoin-research,4941532.649292574
430,swftcoin,4958520.347074744
431,propy,4966276.75975547
432,mettalex,4986647.819605642
433,howdoo,5032487.27875084
434,rally-2,5044913.290643443
435,terra-virtua-kolect,5051865.542104178
436,airbloc-protocol,5057333.356101807
437,xio,5079968.947407641
438,moviebloc,5104086.84025299
439,woo-network,5114439.080928103
440,fsw-token,5169108.219532809
441,midas,5205505.397410767
442,lien,5218869.746355629
443,xmax,5219286.033053093
444,ruff,5225884.159484143
445,buysell,5257871.297958612
446,charg-coin,5335862.427412949
447,dhedge-dao,5337921.827722573
448,dev-protocol,5370565.605705861
449,equilibrium-eosdt,5388225.475253551
450,piedao-dough-v2,5423485.415760522
451,particl,5424405.4127614405
452,hakka-finance,5491558.215666109
453,selfkey,5497170.297601486
454,dollars,5512020.323641815
455,presearch,5518919.301887822
456,get-token,5519201.176924737
457,mcdex,5522261.809713146
458,santiment-network-token,5550308.2982474575
459,sentivate,5584380.02230997
460,revain,5645101.325951538
461,phantasma,5658034.133124932
462,smart-valor,5718651.263539925
463,genesis-vision,5723668.9380122
464,daostack,5756004.0616830615
465,callisto,5768962.141794404
466,easyfi,5866156.040608262
467,mossland,5910582.554201674
468,everex,5912104.211919279
469,diamond,5933331.496110958
470,powertrade-fuel,5964316.674917547
471,statera,5973833.188857834
472,reapchain,5987019.239884587
473,proximax,5988267.213649804
474,bibox-token,6041053.406167075
475,grid,6041951.036708471
476,beefy-finance,6051524.678461712
477,dune,6100183.179168542
478,mysterium,6189465.260264909
479,ubiq,6193412.329099843
480,arcblock,6215924.67855965
481,debase,6223936.619093153
482,cybermiles,6245286.467880002
483,tenx,6248089.102351063
484,88mph,6251465.523527921
485,spendcoin,6338693.968058229
486,sdefi,6355123.993313428
487,bitcny,6389149.717873082
488,metaverse-etp,6441027.064914919
489,stacktical,6493588.600903914
490,oraichain-token,6517258.440338161
491,time-new-bank,6614736.287603241
492,dxdao,6618887.24875565
493,smartcash,6633292.223133521
494,elysia,6641380.171850111
495,stafi,6693203.042699504
496,swag-finance,6757162.451795827
497,based-money,6783107.700326505
498,linkeye,6814992.915268336
499,mithril-share,6844013.711010275
500,pchain,6850652.627570204
501,ptokens-btc,6852217.101093309
502,morpheus-labs,6870047.70730754
503,endor,6893180.470437157
504,namecoin,6933476.381261967
505,cutcoin,6997728.460375809
